Emotion,Suddenness,Goal_relevance,Conduciveness,Power
Boredom,0.01368,0.12647,0.10432,0.4891
Boredom,0.00376,0.07663,0.66479,0.56405
Boredom,0.00934,0.13565,0.6737,0.45891
Boredom,0.0519,0.11372,0.46345,0.45825
Boredom,0.03974,0.07448,0.81414,0.52454
Boredom,0.05286,0.16077,0.78387,0.41239
Boredom,0.08302,0.04102,0.95019,0.49183
Boredom,0.00964,0.09658,0.8978,0.47223
Boredom,0.03265,0.0844,0.35688,0.38774
Boredom,0.04516,0.16554,0.01173,0.47201
Boredom,0.02773,0.03714,0.81621,0.40528
Boredom,0.02095,0.19095,0.37087,0.46933
Boredom,0.03885,0.02473,0.67652,0.47772
Boredom,0.14411,0.23473,0.3868,0.50342
Boredom,0.00708,0.15435,0.53548,0.48773
Boredom,0.0177,0.12755,0.13037,0.56713
Boredom,0.03954,0.22411,0.91791,0.38718
Boredom,0.01516,0.10012,0.9129,0.47859
Boredom,0.05906,0.24173,0.74417,0.54413
Boredom,0.03581,0.01088,0.87937,0.39475
Boredom,0.06789,0.09709,0.15623,0.45422
Boredom,0.03088,0.10699,0.64216,0.41519
Boredom,0.00298,0.00312,0.86178,0.53094
Boredom,0.03754,0.00579,0.40994,0.50304
Boredom,0.10271,0.09274,0.69481,0.48324
Boredom,4e-05,0.16212,0.11879,0.45852
Boredom,0.01282,0.17736,0.88766,0.48904
Boredom,0.16108,0.06988,0.65064,0.45336
Boredom,0.0044,0.09876,0.11706,0.57067
Boredom,0.037,0.17328,0.40483,0.46305
Boredom,0.07416,0.05504,0.52923,0.5326
Boredom,0.03848,0.05281,0.81206,0.54472
Boredom,0.06599,0.18155,0.56393,0.49115
Boredom,0.07373,0.07722,0.55705,0.54372
Boredom,0.00553,0.17999,0.49695,0.46664
Boredom,0.03511,0.03914,0.83339,0.49382
Boredom,0.02385,0.0639,0.14234,0.44328
Boredom,0.03793,0.07562,0.80867,0.54487
Boredom,0.04351,0.10219,0.00506,0.4371
Boredom,0.02135,0.21759,0.34231,0.49988
Boredom,0.03045,0.07557,0.52945,0.56845
Boredom,0.06028,0.04529,0.88876,0.49915
Boredom,0.00606,0.06509,0.41323,0.4807
Boredom,0.02891,0.03296,0.4565,0.47117
Boredom,0.00354,0.0741,0.46273,0.50474
Boredom,0.06186,0.03235,0.73232,0.53658
Boredom,0.00773,0.17624,0.74886,0.49175
Boredom,0.04194,0.2132,0.92135,0.43604
Boredom,0.01526,0.18614,0.54204,0.41731
