Experiment,Emotion,Dimension,Paper,Current,Delta
Exp1_2,Happiness,Suddenness,0.0,0.0,0.0
Exp1_2,Happiness,Goal_relevance,0.67,0.4263137831610003,-0.24368621683899971
Exp1_2,Happiness,Conduciveness,0.83,0.7131568915805002,-0.11684310841949974
Exp1_2,Happiness,Power,0.95,0.995762871265,0.045762871265000005
Exp1_2,Joy,Suddenness,0.8,0.7981100944952753,-0.001889905504724787
Exp1_2,Joy,Goal_relevance,1.0,1.0,0.0
Exp1_2,Joy,Conduciveness,1.0,1.0,0.0
Exp1_2,Joy,Power,0.0,0.0,0.0
Exp1_2,Pride,Suddenness,0.5,0.501335648457326,0.001335648457326033
Exp1_2,Pride,Goal_relevance,1.0,0.6116927786583038,-0.38830722134169615
Exp1_2,Pride,Conduciveness,1.0,0.8058463893291519,-0.19415361067084813
Exp1_2,Pride,Power,0.1,0.3152695692850356,0.21526956928503557
Exp1_2,Boredom,Suddenness,0.0,0.0,0.0
Exp1_2,Boredom,Goal_relevance,0.0,1.3322676295501878e-16,1.3322676295501878e-16
Exp1_2,Boredom,Conduciveness,0.5,0.5000000000000001,1.1102230246251565e-16
Exp1_2,Boredom,Power,0.6,0.6,0.0
Exp1_2,Fear,Suddenness,0.8,0.8002599870006499,0.0002599870006498861
Exp1_2,Fear,Goal_relevance,1.0,1.0,0.0
Exp1_2,Fear,Conduciveness,0.0,0.0,0.0
Exp1_2,Fear,Power,0.0,0.0,0.0
Exp1_2,Sadness,Suddenness,0.2,0.2004899755012249,0.0004899755012248985
Exp1_2,Sadness,Goal_relevance,1.0,0.9728333432684396,-0.02716665673156038
Exp1_2,Sadness,Conduciveness,0.0,0.0135833283657802,0.0135833283657802
Exp1_2,Sadness,Power,0.0,0.0,0.0
Exp1_2,Shame,Suddenness,0.79,0.7956015523932729,0.005601552393272868
Exp1_2,Shame,Goal_relevance,1.0,1.0,0.0
Exp1_2,Shame,Conduciveness,0.0,0.0,0.0
Exp1_2,Shame,Power,0.5,0.4584804894191268,-0.04151951058087322
Exp3,Anxiety,Suddenness,0.2,0.1964136919641369,-0.0035863080358631005
Exp3,Anxiety,Goal_relevance,1.0,0.8235638605281177,-0.1764361394718823
Exp3,Anxiety,Conduciveness,0.0,0.0882180697359411,0.0882180697359411
Exp3,Anxiety,Power,0.0,0.0,0.0
Exp3,Despair,Suddenness,0.81,0.8009955223714765,-0.009004477628523522
Exp3,Despair,Goal_relevance,1.0,1.0,0.0
Exp3,Despair,Conduciveness,0.0,0.0,0.0
Exp3,Despair,Power,0.0,0.0,0.0
Exp3,Irritation,Suddenness,0.2,0.1990502560064681,-0.0009497439935318985
Exp3,Irritation,Goal_relevance,1.0,0.9397988904939346,-0.06020110950606539
Exp3,Irritation,Conduciveness,0.0,0.0301005547530326,0.0301005547530326
Exp3,Irritation,Power,0.53,0.6840198117120603,0.15401981171206025
Exp3,Rage,Suddenness,0.8,0.8006331014344187,0.000633101434418637
Exp3,Rage,Goal_relevance,1.0,1.0,0.0
Exp3,Rage,Conduciveness,0.0,0.0,0.0
Exp3,Rage,Power,0.6,0.7508109000232523,0.15081090002325237
