Metric,Original,Improved,Delta
Exp12_Appraisal_R2,0.65,0.8953905512275868,0.2453905512275868
Exp3_Appraisal_R2,0.62,0.8578615680797301,0.23786156807973013
Exp12_Appraisal_RMSE,0.09,0.1344413698876356,0.04444136988763561
Exp3_Appraisal_RMSE,0.09,0.16088348289733306,0.07088348289733307
SVM_Exp1_Free_R2,0.65,-9.377135418948273,-10.027135418948273
SVM_Exp2_Limit_R2,0.92,-1.3750082522698364,-2.2950082522698363
SVM_Exp3_R2,0.62,-9.09868632664402,-9.718686326644018
NN_6D_Exp12_R2,N/A,-0.83756053,NEW
NN_6D_Exp3_R2,N/A,-0.33366823,NEW
NN_6D_Exp12_Top1_Acc,N/A,0.5714285714285714,NEW
NN_6D_Exp3_Top1_Acc,N/A,0.75,NEW
