Story,Emotion,Val
Happiness,Happiness,0.36167390794561366
Happiness,Joy,0.028897569783186684
Happiness,Pride,0.07582594891515021
Happiness,Boredom,0.4584552457034372
Happiness,Fear,0.006584713695213238
Happiness,Sadness,0.00920722634800558
Happiness,Shame,0.059355387609393566
Joy,Happiness,0.06924679011332363
Joy,Joy,0.3149288771698416
Joy,Pride,0.2618816528007757
Joy,Boredom,0.009868734760613807
Joy,Fear,0.0818265687533497
Joy,Sadness,0.05069565827162675
Joy,Shame,0.2115517181304689
Pride,Happiness,0.2936880895831891
Pride,Joy,0.10557249312802515
Pride,Pride,0.260719795453304
Pride,Boredom,0.055539378583057804
Pride,Fear,0.0174708309292399
Pride,Sadness,0.049960380925104
Pride,Shame,0.21704903139808002
Boredom,Happiness,0.16831178644584685
Boredom,Joy,0.1668819826755344
Boredom,Pride,0.08728510698629326
Boredom,Boredom,0.41195991007365157
Boredom,Fear,0.034578434756508396
Boredom,Sadness,0.010446090586719983
Boredom,Shame,0.12053668847544566
Fear,Happiness,0.01274126411048277
Fear,Joy,0.04676348725751498
Fear,Pride,0.023522560281041653
Fear,Boredom,0.006278102421564487
Fear,Fear,0.6104006869864742
Fear,Sadness,0.17275238418709285
Fear,Shame,0.12754151475582906
Sadness,Happiness,0.04154596232268446
Sadness,Joy,0.06968562939743592
Sadness,Pride,0.06452556996895989
Sadness,Boredom,0.04341793480108254
Sadness,Fear,0.5478185398014204
Sadness,Sadness,0.07037472487707182
Sadness,Shame,0.16263163883134502
Shame,Happiness,0.20276788352307
Shame,Joy,0.1904525343764651
Shame,Pride,0.2523268694973515
Shame,Boredom,0.038172554039011444
Shame,Fear,0.021825930092429398
Shame,Sadness,0.036717066101875064
Shame,Shame,0.2577371623697975
