Story,Emotion,Val
Happiness,Happiness,0.09977571988422655
Happiness,Joy,0.0010797805175457333
Happiness,Pride,0.0042948001020995915
Happiness,Boredom,0.8935343494009
Happiness,Fear,9.999334034635627e-05
Happiness,Sadness,6.105236586489801e-05
Happiness,Shame,0.001154304389016863
Joy,Happiness,0.0038303150365314523
Joy,Joy,0.04907262248678661
Joy,Pride,0.2685477940496099
Joy,Boredom,0.0016795681690948822
Joy,Fear,0.014322646956918362
Joy,Sadness,0.005849567405738169
Joy,Shame,0.6566974858953207
Pride,Happiness,0.026934034733035433
Pride,Joy,0.0006095415839713935
Pride,Pride,0.719978373002266
Pride,Boredom,0.002161194835832543
Pride,Fear,0.00018663427214022933
Pride,Sadness,0.003601189051146887
Pride,Shame,0.24652903252160746
Boredom,Happiness,0.04409961972120163
Boredom,Joy,0.1694040245211467
Boredom,Pride,0.04257123057376011
Boredom,Boredom,0.5578202404412049
Boredom,Fear,0.06138443653622542
Boredom,Sadness,0.015073413785048817
Boredom,Shame,0.10964703442141252
Fear,Happiness,0.0005557763217627785
Fear,Joy,0.0007819567173110278
Fear,Pride,0.0004989203644872325
Fear,Boredom,0.0018326093455971497
Fear,Fear,0.9950393514857055
Fear,Sadness,0.00035333447240845775
Fear,Shame,0.0009380512927277464
Sadness,Happiness,0.008736057848787504
Sadness,Joy,0.039766912636377084
Sadness,Pride,0.018526663208373876
Sadness,Boredom,0.03260023716545738
Sadness,Fear,0.7385759383663334
Sadness,Sadness,0.007186720766130833
Sadness,Shame,0.15460747000854008
Shame,Happiness,0.00023271090741362678
Shame,Joy,0.0004114953064479155
Shame,Pride,0.06184965288910436
Shame,Boredom,0.0003589360588173352
Shame,Fear,0.00025726379281032757
Shame,Sadness,0.0007843400111351941
Shame,Shame,0.9361056010342713
