Model,Seed,free_RMSE,free_R2,limit_RMSE,limit_R2,RMSE,R2
baseline,7,0.09391181866022803,0.6065043213521184,0.1172617950518805,0.8587821401200268,0.10623031173554179,0.8115773890142798
baseline,42,0.09401998820079448,0.6055973266721328,0.14676276536280514,0.7787881835130516,0.12324582645715702,0.746381722529306
baseline,123,0.10172756062244796,0.5382820846003162,0.19063549393770238,0.6267635264775864,0.15279134160525193,0.610207396169766
baseline,999,0.11253930409595343,0.4349226290737569,0.13653590471485644,0.8085434211725613,0.12511424427839107,0.7386336820401582
baseline,2024,0.09764601225651522,0.5745892216229562,0.12046483378508133,0.8509619633236967,0.1096506267388992,0.7992487110524037
v2,7,0.15231131278519053,-0.035055858941067664,0.2875683057520064,0.15070496183912374,0.23010244074697206,0.11594648266345209
v2,42,0.15568205449109965,-0.08137561929606707,0.29405016681728974,0.11198682424483763,0.23526836027805104,0.0758059738429846
v2,123,0.15424367751271278,-0.061485846397919985,0.2842796430728375,0.17001914950306574,0.22869852154994968,0.12670128761328647
v2,999,0.156576795438277,-0.09384117185308471,0.2894575755785447,0.13950888601826428,0.23270365374175905,0.09584578691535606
v2,2024,0.15533739621842202,-0.07659289085796384,0.2629329837219996,0.2899863650985468,0.21594381282277147,0.22139419705750052
