Emotion,Suddenness,Goal_relevance,Conduciveness,Power,Seed
Boredom,0.0,2.664535259100376e-16,0.5000000000000001,0.6000000000000001,7
Fear,0.7932603369831508,1.0,0.0,0.0,7
Happiness,0.0,0.6525477000000002,0.8262738500000001,0.9347397368421052,7
Joy,0.7970101494925254,1.0,1.0,0.0,7
Pride,0.5066419524250849,0.9702938654961826,0.9851469327480912,0.0780727331617184,7
Sadness,0.1990900454977251,1.0,0.0,0.0,7
Shame,0.801669449081803,1.0,0.0,0.3197571271233521,7
Boredom,0.0,2.664535259100376e-16,0.5000000000000001,0.6000000000000001,42
Fear,0.7962601869906505,1.0,0.0,0.0,42
Happiness,0.0,0.6775524000000003,0.8387762000000001,0.9347397368421052,42
Joy,0.7971101444927754,1.0,1.0,0.0,42
Pride,0.5016742770167428,0.4424409721131361,0.7212204860565681,0.0108058500703809,42
Sadness,0.2044397780110994,0.8639100420999032,0.0680449789500484,0.0,42
Shame,0.7956666666666666,1.0,0.0,0.4914377989646938,42
Boredom,0.0,2.664535259100376e-16,0.5000000000000001,0.6000000000000001,123
Fear,0.79946002699865,1.0,0.0,0.0,123
Happiness,0.0,0.6178983299999998,0.8089491649999999,0.9347397368421052,123
Joy,0.8002599870006499,1.0,1.0,0.0,123
Pride,0.493188854489164,1.0,1.0,0.226939761346789,123
Sadness,0.2054397280135993,1.0,0.0,0.0,123
Shame,0.8026271471876052,1.0,0.0,0.1880634418395152,123
Boredom,0.0,2.664535259100376e-16,0.5000000000000001,0.6000000000000001,999
Fear,0.7963101844907754,1.0,0.0,0.0,999
Happiness,0.0,0.3938085900000004,0.6969042950000002,0.9172157894736842,999
Joy,0.7950602469876507,1.0,1.0,0.0,999
Pride,0.4898822108124433,1.0,1.0,0.2699472809964288,999
Sadness,0.1984900754962252,1.0,0.0,0.0,999
Shame,0.8019148233740508,1.0,0.0,0.5100455677420335,999
Boredom,0.0,2.664535259100376e-16,0.5000000000000001,0.6000000000000001,2024
Fear,0.80085995700215,1.0,0.0,0.0,2024
Happiness,0.0,0.6680268000000005,0.8340134000000002,0.9491998947368422,2024
Joy,0.8022598870056497,1.0,1.0,0.0,2024
Pride,0.5012338062924121,1.0,1.0,0.0435861332900881,2024
Sadness,0.2023398830058497,1.0,0.0,0.0,2024
Shame,0.7945659377070908,1.0,0.0,0.306108580719942,2024
