Emotion,Suddenness,Goal_relevance,Conduciveness,Power,Seed
Boredom,1.0,3.252921122397026e-12,-1.8999992348850083,32.48999563884454,7
Fear,1.0,1.2533343338427094,-18.840620487625127,0.0,7
Happiness,0.0,0.1199707031250187,13.899999999999974,270.58941961881044,7
Joy,0.671875,78.81814511848661,4.315562970361375,0.0,7
Pride,0.0,12.088333502699085,7.815027215637613,0.7097833210104612,7
Sadness,1.0,0.3674102783203166,-2.9499999999999966,0.0,7
Shame,0.328125,115.4109501951043,-0.3587930053969255,24.298949880815705,7
Boredom,1.0,5.456267667316677e-12,-1.899998999896172,32.48999429940827,42
Fear,1.0,1.293545865155086,-18.8354720693857,0.0,42
Happiness,0.0,0.1199707031250187,13.899999999999974,270.59013201737696,42
Joy,0.71875,76.27186241601922,3.8269158069818814,0.0,42
Pride,0.0,11.973520945205037,7.799446043051605,0.7229709401231886,42
Sadness,1.0,0.7498168945312558,-3.399999999999997,0.0,42
Shame,0.328125,119.36270743402235,-0.7139748497353926,26.081320557756648,42
Boredom,1.0,3.932190732735389e-12,-1.8999991567056789,32.4899951932224,123
Fear,1.0,1.3269797283738225,-18.830068211446186,0.0,123
Happiness,0.0,0.1874542236328359,14.049999999999974,273.0607506363172,123
Joy,0.6875,80.98277635607273,4.200849873650986,0.0,123
Pride,0.0,12.137671754379417,7.807247666909022,0.7163526152962152,123
Sadness,1.0,0.4798828125000047,-3.099999999999997,0.0,123
Shame,0.328125,116.4394521230977,-0.4273067554238032,24.63785485407064,123
Boredom,1.0,4.901416250917703e-12,-1.899999046637517,32.48999456583392,999
Fear,1.0,1.3007663201549349,-18.83469172450112,0.0,999
Happiness,0.0,0.1199707031250187,13.899999999999974,270.5919853299057,999
Joy,0.71875,76.10566250181962,3.888047712504868,0.0,999
Pride,0.0,12.328586987663591,7.7465812957804,0.7686192880767618,999
Sadness,1.0,0.3674102783203166,-2.9499999999999966,0.0,999
Shame,0.3125,116.64740263494376,-0.3151630811267717,24.084356577278367,999
Boredom,1.0,4.697855991753594e-12,-1.899999075385192,32.48999472969565,2024
Fear,1.0,1.3421713879166837,-18.82723174677544,0.0,2024
Happiness,0.0,0.2699340820312781,14.199999999999973,275.5465773162188,2024
Joy,0.703125,79.20994232389532,4.129853755056598,0.0,2024
Pride,0.0,12.093537145573675,7.90267342853523,0.6378630439768282,2024
Sadness,1.0,0.4798828125000047,-3.099999999999997,0.0,2024
Shame,0.328125,119.3793192627877,-0.6853978498467915,25.935582339915776,2024
