Story,Emotion,Val
Anxiety,Anxiety,0.2909792793520243
Anxiety,Despair,0.24652031119513654
Anxiety,Irritation,0.26962793273360736
Anxiety,Rage,0.19287247671923186
Despair,Anxiety,0.2254833016988602
Despair,Despair,0.2933664536357602
Despair,Irritation,0.21459144018368143
Despair,Rage,0.2665588044816982
Irritation,Anxiety,0.2604130572519325
Irritation,Despair,0.23452858901495033
Irritation,Irritation,0.2645268419223884
Irritation,Rage,0.2405315118107288
Rage,Anxiety,0.18116505392016966
Rage,Despair,0.2719010462237115
Rage,Irritation,0.21793998445013182
Rage,Rage,0.32899391540598705
