Story,Emotion,Val
Anxiety,Anxiety,0.2713805527825292
Anxiety,Despair,0.2652618598150614
Anxiety,Irritation,0.2485052033660664
Anxiety,Rage,0.21485238403634296
Despair,Anxiety,0.27138003055512916
Despair,Despair,0.2652616562312443
Despair,Irritation,0.24850558011704635
Despair,Rage,0.21485273309658032
Irritation,Anxiety,0.2087304592523463
Irritation,Despair,0.24019841609042467
Irritation,Irritation,0.24795677909527652
Irritation,Rage,0.30311434556195255
Rage,Anxiety,0.16932116112151235
Rage,Despair,0.2692775086919327
Rage,Irritation,0.2180922848107327
Rage,Rage,0.3433090453758223
