Story,Emotion,Val
Anxiety,Anxiety,0.12918629473791313
Anxiety,Despair,0.7262489532591505
Anxiety,Irritation,0.09274818910415682
Anxiety,Rage,0.051816562898779533
Despair,Anxiety,0.1291793665194934
Despair,Despair,0.7262532445066779
Despair,Irritation,0.09275017520442776
Despair,Rage,0.05181721376940087
Irritation,Anxiety,0.024240093011678485
Irritation,Despair,0.0801475315422745
Irritation,Irritation,0.04372734486774259
Irritation,Rage,0.8518850305783044
Rage,Anxiety,0.0008464399317269476
Rage,Despair,0.15840767691461743
Rage,Irritation,0.0029349849642746253
Rage,Rage,0.837810898189381
