Model,Seed,free_RMSE,free_R2,limit_RMSE,limit_R2,RMSE,R2
baseline,7,0.04417084869869041,0.17976580588356206,0.20109571227849243,0.3224920980537087,0.14558597008564528,0.31702225191367195
baseline,42,0.05483150938982801,-0.2639409509940116,0.20015396027718022,0.32882291835184463,0.14674485039790294,0.3061058203778466
baseline,123,0.05054949566575373,-0.0742368263140809,0.21553096803139762,0.22173392033742967,0.1565388924398876,0.21039112973087748
baseline,999,0.05501779457371493,-0.27254379418525265,0.20735759394444497,0.27964158605808276,0.15169727994625481,0.25847961915777196
baseline,2024,0.055314261807922975,-0.2862951271226266,0.21403068583954243,0.23253102231924183,0.15631506971546338,0.21264751544938199
v2,7,0.062334152937136,-0.6334976233958074,0.32918658670074635,-0.8154864209626569,0.23690647467521678,-0.808511877542764
v2,42,0.05977503623999141,-0.5021250157425181,0.3275323417055796,-0.7972857203158039,0.23542566748406263,-0.7859739737829641
v2,123,0.05648421971418098,-0.34128370955911014,0.3241509140706192,-0.7603671050332976,0.23266314939149454,-0.7443061420654145
v2,999,0.061508559239119916,-0.5905139818035592,0.3260628302151941,-0.7811944413133554,0.2346276540687551,-0.7738867984146893
v2,2024,0.06024372140750147,-0.5257731411110929,0.32702182874655783,-0.7916873566248537,0.23513037069439546,-0.7814964533007842
