Emotion,Suddenness,Goal_relevance,Conduciveness,Power,Seed
Anxiety,0.1998800119988001,0.097216696433885,0.4513916517830575,0.0,7
Despair,0.7956068131062298,1.0,0.0,0.0,7
Irritation,0.1993671611675418,0.3415186971160137,0.6707593485580069,0.773226214102196,7
Rage,0.7990117595097443,1.0,0.0,0.7576431939098883,7
Anxiety,0.2061793820617938,0.0269426873113665,0.4865286563443167,0.0,42
Despair,0.7987400419986,1.0,0.0,0.0,42
Irritation,0.1990654847797704,1.0,0.0,0.3731400686030786,42
Rage,0.8007582256413095,1.0,0.0,0.6811059027795787,42
Anxiety,0.1997800219978002,1.0,0.0,0.0,123
Despair,0.7972400919969335,1.0,0.0,0.0,123
Irritation,0.2032273748061028,0.7124613195293469,0.1437693402353265,0.4572243117195158,123
Rage,0.7989453049504404,1.0,0.0,0.7542352034267251,123
Anxiety,0.1950804919508049,1.0,0.0,0.0,999
Despair,0.7969734342188594,1.0,0.0,0.0,999
Irritation,0.2018204215713113,1.0,0.0,0.4169814926499597,999
Rage,0.8017613825191093,1.0,0.0,0.8074131666486813,999
Anxiety,0.1975802419758023,1.0,0.0,0.0,2024
Despair,0.7991066964434519,1.0,0.0,0.0,2024
Irritation,0.2005407015373336,1.0,0.0,0.5929837743241162,2024
Rage,0.7991099809281628,1.0,0.0,0.7810695321268017,2024
