Emotion,Suddenness,Goal_relevance,Conduciveness,Power,Seed
Anxiety,1.0,0.0018612816361835,-18.994562431147965,0.0,7
Despair,1.0,0.289038851802305,-18.932095993508234,0.0,7
Irritation,1.0,0.6939478150930389,-18.893209989287616,117.82922171998683,7
Rage,1.0,6.19408851409018,-18.395810964140136,182.71601307986103,7
Anxiety,1.0,0.0025251736145775,-18.99366650321715,0.0,42
Despair,1.0,0.3221210615695903,-18.92828128095981,0.0,42
Irritation,1.0,0.6123578654734958,-18.90020122509548,120.22474316635004,42
Rage,1.0,6.124084985888467,-18.40211978897172,183.17329693009228,42
Anxiety,1.0,0.0018612818041264,-18.99456245557785,0.0,123
Despair,1.0,0.3010343312699534,-18.93068138288997,0.0,123
Irritation,1.0,0.6747541652388607,-18.89489045759609,115.65040070397794,123
Rage,1.0,6.172011156510317,-18.39797126996539,182.8270843376238,123
Anxiety,1.0,0.0014719905005167,-18.9951643547904,0.0,999
Despair,1.0,0.3058380427174221,-18.93013398734273,0.0,999
Irritation,1.0,0.6150917696445506,-18.899988623539265,123.89703230053154,999
Rage,1.0,6.258957697111436,-18.390257914667227,181.1484465909228,999
Anxiety,1.0,0.0016708400764251,-18.994848128997823,0.0,2024
Despair,1.0,0.3171895644311863,-18.928821071537605,0.0,2024
Irritation,1.0,0.6014965382347675,-18.901122885650214,115.0830609619055,2024
Rage,1.0,6.0077674546598585,-18.4126513342986,181.40103900632587,2024
